id,title,description,link,section,type,url,alt_text,created_at,image_url
"1089730441262786486"," "," ","","","image","https://www.pinterest.com/pin/1089730441262786486/","","","https://i.pinimg.com/originals/83/ae/b9/83aeb973f6d5d34176341954dda81f93.jpg"
"1089730441262786476"," "," ","","","image","https://www.pinterest.com/pin/1089730441262786476/","","","https://i.pinimg.com/originals/d7/c7/29/d7c72949d72fdd6f863843ac53a40567.jpg"
"1089730441262786470"," "," ","","","image","https://www.pinterest.com/pin/1089730441262786470/","","","https://i.pinimg.com/originals/65/bf/56/65bf561bfe8e5f4e31cd1e45003fded4.jpg"
"1089730441262786468","vg","vg","","","image","https://www.pinterest.com/pin/1089730441262786468/","","","https://i.pinimg.com/originals/f2/c3/52/f2c352a7b2be442e50ba960f06270779.png"
"1089730441262786464","pie chart design","pie chart design","https://simplep.net/ppt-%EB%94%94%EC%9E%90%EC%9D%B8-%EC%98%81%EA%B0%90-%EC%9B%90-%EA%B7%B8%EB%9E%98%ED%94%84/","","image","https://www.pinterest.com/pin/1089730441262786464/","","","https://i.pinimg.com/originals/c9/68/c6/c968c683095ade2cc7a773085724c1d1.jpg"
"1089730441262786448","Chroma Console Multi-Effector Pedal by Hologram Electronics","Chroma Console is a flexible multi-effect pedal that takes inspiration from the eccentricity, grit, and lively instability of beloved vintage recording technology, combines it with brand new sounds, and delivers it all through an intuitive user interface that puts wide-ranging sonic experimentation at your fingertips.","","","idea","https://www.pinterest.com/pin/1089730441262786448/","","","https://i.pinimg.com/originals/ad/f9/14/adf9142a0e63f198c6d78bba89edac23.jpg"
"1089730441262786445","drum machine","drum dance concept.Electronix percussion. 3in1 #minisynth #drum #drummachine #percussion #synth #dub #reggae #synthsizer #speaker #siren #sound #drumdance #longdrum","https://www.youtube.com/watch?v=uofoyYHAzMk","","image","https://www.pinterest.com/pin/1089730441262786445/","","","https://i.pinimg.com/originals/06/7a/a3/067aa3e6e8022ec3388b0ec518e521b7.jpg"
"1089730441262786440","Fors Pivot","Fors Pivot","https://fors.fm/pivot","","image","https://www.pinterest.com/pin/1089730441262786440/","","","https://i.pinimg.com/originals/29/7e/4a/297e4ab623f459761c5cae2365b4123d.png"
"1089730441262786434","Deconstructed Halftones","CMYK Split Halftone","","","idea","https://www.pinterest.com/pin/1089730441262786434/","","","https://i.pinimg.com/originals/cc/a1/37/cca1376df6bfc9388dce458a38f09ef8.jpg"
"1089730441262786428","Omnitone Beatsi and Rhythmi modules let you experience evolving drum sounds and rhythms - SYNTH ANATOMY"," ","https://synthanatomy.com/2025/03/omnitone-beatsi-and-rhythmi-modules-let-you-experience-evolving-drum-sounds-and-rhythms.html","","image","https://www.pinterest.com/pin/1089730441262786428/","","","https://i.pinimg.com/originals/64/08/63/6408630e08f43d2b53ce21b170b8296d.jpg"
"1089730441262786103","Now Now Hotel Brand Identity | Saint-Urbain","Now Now Hotel Brand Identity | Saint-Urbain","https://www.sainturbain.com/work/now-now-hotel/","","image","https://www.pinterest.com/pin/1089730441262786103/","","","https://i.pinimg.com/originals/de/53/40/de5340e01b406c4bb6142653e1a73af9.webp"
"1089730441262786088","Instagram","Instagram","https://www.instagram.com/p/DN6rXYMk5zf/?img_index=6","","image","https://www.pinterest.com/pin/1089730441262786088/","","","https://i.pinimg.com/originals/93/d9/9a/93d99ab74c45e2b01a0971196d1e4ae1.jpg"
"1089730441262786080","How to Pair Fonts: A Simple, Fun Font Pairing Guide","Learn how to pair fonts like a designer. This guide breaks down the basics of font pairing, legibility, and contrast, plus when (and how) to break the rules. Perfect for beginners and creatives who want to make their typography stand out without overthinking it.","https://hellofunshop.com/blogs/blog","","idea","https://www.pinterest.com/pin/1089730441262786080/","","","https://i.pinimg.com/originals/d8/40/da/d840da4b65eede499a196299bc9f9079.jpg"
